219. Jai Bhim,2021,2h 44m,8.8,,
220. Before Sunset,2004,1h 20m,8.1,,
221. Rush,2013,2h 3mR,8.1,,
222. Network,1976,2h 1mU,8.1,,
223. Stand by Me,1986,1h 29m,8.1,,
224. The Best Years of Our Lives,1946,2h 50m,8.1,,
225. The Wizard of Oz,1939,1h 42m,8.1,,
226. Into the Wild,2007,2h 28m,8.1,,
227. La haine,1995,1h 38m,8.1,,
228. The Incredibles,2004,1h 55m,8,,
229. The Exorcist,1973,2h 2mA,8.1,,
230. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1,,
231. To Be or Not to Be,1942,1h 39m,8.2,,
232. Groundhog Day,1993,1h 41m,8,,
233. Babam Ve Oglum,2005,1h 52m,8.2,,
234. La battaglia di Algeri,1966,2h 1mN,8.1,,
235. Hachi: A Dog's Tale,2009,1h 33m,8.1,,
236. The Grapes of Wrath,1940,2h 9mP,8.1,,
237. Ah-ga-ssi,2016,2h 25m,8.1,,
238. Amores perros,2000,2h 34m,8.1,,
239. Pather Panchali,1955,2h 5mU,8.2,,
240. Cool Hand Luke,1967,2h 7mA,8.1,,
241. Rebecca,1940,2h 10m,8.1,,
242. The Sound of Music,1965,2h 52m,8.1,,
243. It Happened One Night,1934,1h 45m,8.1,,
244. The 400 Blows,1959,1h 39m,8.1,,
245. The Iron Giant,1999,1h 26m,8.1,,
246. Persona,1966,1h 25m,8.1,,
247. The Help,2011,2h 26m,8.1,,
248. Life of Brian,1979,1h 34m,8,,
249. Aladdin,1992,1h 30m,8,,
250. Dances with Wolves,1990,3h 1mU,8,,
